"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
0,0,0,0,1,0,0,0,1,1,0,0,0,0,8,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,3,0,0,0,0,4,0,2,0,0,0,0
0,3,0,0,1,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0
0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0
0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2
0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,6,0,0,0,0,28,0,2,0,0,0,0
0,0,0,0,0,0,4,0,0,8,0,0,0,0,20,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,5,0,0,0,0,11,0,3,0,0,0,0
0,0,3,0,0,0,0,0,0,3,0,0,0,1,5,0,4,0,0,0,0
0,3,3,0,0,0,0,0,1,7,0,0,0,1,3,0,1,0,0,0,0
0,3,4,0,0,1,0,0,2,7,0,0,0,0,6,0,2,0,0,0,0
0,1,1,0,0,0,0,0,1,6,0,0,0,2,8,0,4,0,0,0,0
0,1,5,0,0,1,1,0,2,20,0,0,0,0,21,0,4,0,0,0,0
0,1,3,0,0,0,0,0,0,14,0,0,0,0,15,0,1,0,0,0,0
0,1,2,0,0,1,1,1,1,13,0,0,0,0,17,0,1,0,0,0,0
0,1,3,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0
0,1,0,0,0,0,6,1,0,4,0,0,0,0,12,0,0,0,0,0,0
0,0,1,0,0,0,8,2,0,4,0,0,0,0,6,0,0,0,0,0,0
0,1,2,0,0,0,3,1,1,3,0,0,0,1,1,0,3,0,0,0,0
0,1,2,0,0,0,0,2,0,4,0,0,0,3,0,0,4,0,0,0,0
0,3,5,0,0,0,2,2,0,10,0,0,0,2,0,0,11,0,0,0,0
0,2,3,0,0,0,3,2,2,6,0,0,0,2,3,0,4,0,0,0,0
0,1,3,0,0,0,2,1,1,15,0,0,0,6,19,1,6,0,0,0,0
0,1,4,0,0,0,4,7,0,8,0,0,0,7,17,0,2,0,0,0,0
0,1,3,0,0,0,5,14,0,6,0,0,0,8,17,0,1,0,0,0,0
0,1,2,0,0,0,3,19,1,8,0,0,1,6,22,0,2,0,0,0,0
0,0,2,0,1,0,2,12,0,6,0,0,1,3,14,0,0,0,0,0,0
0,0,2,0,0,0,1,14,0,5,0,0,0,2,2,0,0,0,0,0,0
0,0,2,0,0,0,5,12,0,1,0,0,0,7,1,0,0,0,0,0,0
0,0,2,0,0,0,5,11,0,0,0,0,0,3,0,0,1,0,0,0,0
0,0,2,0,1,0,1,8,0,0,0,0,2,2,1,0,0,0,0,0,0
0,0,2,0,0,0,1,9,0,0,0,0,1,2,0,0,0,0,0,0,0
0,1,1,0,1,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,1,0,0,4,1,0,0,0,1,0,6,0,0,0,0,0,0
0,0,0,0,0,0,5,9,0,0,0,0,0,4,6,0,0,0,0,0,0
